date,hour,campaign_name,daily_budget,impressions,clicks,spend,orders,revenue,ctr,cvr,cpc,acos,roas
10/21/25,0,Campaign_A,20,860,8,7.57,0,0,0.0093,0,0.95,,0
10/21/25,0,Campaign_B,25,1482,39,20.3,6,145.48,0.0263,0.1538,0.52,0.14,7.167
10/21/25,0,Campaign_C,15,1215,36,18.25,0,0,0.0296,0,0.51,,0
10/21/25,0,Campaign_D,10,474,0,0,0,0,0,0,0,,
10/21/25,0,Campaign_E,20,975,0,0,0,0,0,0,0,,
10/21/25,0,Campaign_F,25,0,33,36.55,0,0,0,0,1.11,,0
10/21/25,0,Campaign_G,5,2214,11,9.74,0,0,0.005,0,0.89,,0
10/21/25,0,Campaign_H,10,1363,15,20,0,0,0.011,0,1.33,,0
10/21/25,0,Campaign_I,10,1955,18,12.74,0,0,0.0092,0,0.71,,0
10/21/25,0,Campaign_J,10,1579,44,62.56,0,0,0.0279,0,1.42,,0
10/21/25,1,Campaign_A,20,1275,7,5.4,0,0,0.0055,0,0.77,,0
10/21/25,1,Campaign_B,25,379,4,2.06,0,0,0.0106,0,0.52,,0
10/21/25,1,Campaign_C,15,1162,11,12.17,1,38.3,0.0095,0.0909,1.11,0.318,3.147
10/21/25,1,Campaign_D,10,200,4,3.24,0,0,0.02,0,0.81,,0
10/21/25,1,Campaign_E,20,1570,0,0,0,0,0,0,0,,
10/21/25,1,Campaign_F,25,1028,19,19.43,0,0,0.0185,0,1.02,,0
10/21/25,1,Campaign_G,5,863,18,25.34,1,35.11,0.0209,0.0556,1.41,0.722,1.386
10/21/25,1,Campaign_H,10,1059,30,41.41,2,44.22,0.0283,0.0667,1.38,0.936,1.068
10/21/25,1,Campaign_I,10,795,19,19.75,3,79.08,0.0239,0.1579,1.04,0.25,4.004
10/21/25,1,Campaign_J,10,1408,15,20.41,0,0,0.0107,0,1.36,,0
10/21/25,2,Campaign_A,20,1479,27,20.77,1,24.38,0.0183,0.037,0.77,0.852,1.174
